,多头策略,空头策略,基准,多头/基准,空头/基准,分层1,分层2,分层3,分层4,分层5,分层1/基准,分层2/基准,分层3/基准,分层4/基准,分层5/基准,ic_long,ic_short,ic
ASarePlanTrade_over_next_orig_M,1.1766302395854042,1.2260426586089912,1.3031940339987096,0.9028818494319237,0.940798243870878,1.2280588105385633,1.0912155656203837,1.1447185678614265,1.0131068561366712,1.253883546063737,0.9423453288612732,0.8373392888180335,0.8783945736376506,0.7774029267369055,0.9621618219171333,,,0.07709190525778115
margin_repay_amount_M_orig,1.4627720184168669,1.526377628836965,1.3031940339987096,1.122451438738182,1.1712589138805682,1.5282928790263712,1.2602436766873886,1.1117724197970145,1.330994793767029,1.4526661344926648,1.1727285723807146,0.9670422391518073,0.8531134971403003,1.0213327862490407,1.1146967347873105,,1.4037718945592614,-0.6858248292940189
AShareFreeFloatCalendar_anndt_recent_float_M,1.5304108748710565,1.9199346468289984,1.3031940339987096,1.1743538068350088,1.473253097190667,2.14108048686921,2.197184826356743,1.2089132237310434,1.6893921902086273,1.4058657735418456,1.6429483492182178,1.6859997583129809,0.9276540501199382,1.29634739427475,1.078784691200664,-2.25264341540393,,-0.17975054681295147
north_holdings_float_W_qoq,1.7947030143001474,1.0857060891447299,1.3031940339987096,1.3771571749705573,0.8331116171652186,0.9479755793460503,0.8655689333620936,0.7948752122989688,0.9432555061197829,1.5950136414492289,0.727424738461463,0.6641903744035639,0.6099438698779033,0.7238028117927349,1.223926445208702,5.892951960070288,-1.7945496822884528,3.0993488569483203
north_holdings_float_M_qoq,1.762150275255155,1.222297865480408,1.3031940339987096,1.3521779790904873,0.9379246939382615,1.0171109623950767,0.8682140784365313,0.9008936040576377,0.9982908587261852,1.4574733001911926,0.7804754594173379,0.6662201144157409,0.6912965993969014,0.76603393867837,1.1183854914675244,1.7352987997163896,-0.9977490414456739,0.6244469114523434
margin_tr_balance_orig_M_yoy,0.816257322177152,1.3807944956527112,1.3031940339987096,0.6263513343999549,1.0595463604263848,1.430356615356626,1.6616534251986517,1.37120737167167,1.207377734271713,0.8748595409541765,1.0975776269998196,1.2750621794208559,1.0521897245525815,0.9264757992844743,0.6713194797782835,-1.4234508309724447,-0.319691566692841,-0.5643626296228212
AshareStockRepo_preplan_recent_float_M,1.6436620949626373,1.2621559989865883,1.3031940339987096,1.2612566141967658,0.9685096509487535,0.9748306475031212,1.3082128482246407,0.980793728564256,1.9881725075086627,1.518590261057465,0.748031852564548,1.0038511642126933,0.7526075956277951,1.5256151084487173,1.1652833127219249,2.137100076859071,,0.08472527024714085
margin_slend_balance_orig_W_qoq,0.7037257010661182,1.6546136055384166,1.3031940339987096,0.5400007080348673,1.2696602059030413,1.682354744836461,1.8741554183860223,1.7891977107272887,1.1151177451191732,0.7242352297552479,1.2909472426560593,1.4381246149780011,1.3729327053756757,0.8556805172730536,0.5557386013600835,-1.6295386911739855,0.20613494433650553,-0.735459923217919
margin_repay_orig_M_orig,1.4464166343698708,0.8179666876743645,1.3031940339987096,1.1099012093630434,0.6276630082202896,0.8456497799413782,1.2982655310849465,1.3152066023450821,1.7362952068933297,1.6279831786997057,0.6489055028487152,0.9962181357609192,1.0092177895485857,1.332338210270727,1.2492254692913347,,1.9638093516310215,0.2755109285681283
indusETFselect_orig_W_yoy,0.8561126677191849,1.4151456674213674,1.3031940339987096,0.6569341520788704,1.0859055754568998,1.3659001604889522,1.346246929664532,1.4500602482997735,1.1748280047025021,1.006678627429987,1.048117260250061,1.0330364431869898,1.1126971198988849,0.9014989127119235,0.7724702547487137,-0.4939438590174904,-0.6103127218631925,-0.5167136514845225
AShareSEO_pass_recent_orig_W,0.10288991892918685,0.17375362072776898,1.3031940339987096,0.07895211015774857,0.13332904862572523,0.08086808024090454,0.760881494488338,0.48808789627390425,0.16077669993767546,0.10152039000504766,0.06205375265014804,0.583858945512247,0.37453202174066086,0.12337126762647124,0.07790120838225706,3.679536884327301,,-1.691057042189766
margin_net_buy_float_W_orig,0.41557843489352664,1.8510938999205724,1.3031940339987096,0.3188922171615299,1.4204284639338713,2.1025539438293883,1.5615742161607287,1.5795069620089284,1.4807591108538123,0.7015881021810146,1.613385182080622,1.1982668546825737,1.2120274654437933,1.136253752106479,0.5383604312768895,-9.971193175779506,2.554478508542555,-3.155035881272437
allETFselect_orig_M_orig,1.21391829462405,1.5556043096304784,1.3031940339987096,0.9314946684487754,1.1936858741267218,1.3290888683585658,1.45241345612158,1.0985691788976821,1.3451258047602492,1.1776032040067297,1.0198702830770339,1.1145028431913602,0.8429820504371415,1.0321761531035225,0.90362844924434,0.8277195291726576,0.13003166670739677,0.1929642426879316
margin_net_buy_orig_M_qoq,0.8596349728482637,1.9842544507667634,1.3031940339987096,0.6596369768595142,1.5226086054724282,1.611471591746397,1.4394532483772247,1.550588443208133,1.3090885652616833,0.8828890067234448,1.2365553783282535,1.1045578868715493,1.1898369718976693,1.004523141688185,0.6774808537255159,-1.0540395492604315,0.48456969807461253,-0.007201468925704196
margin_tr_balance_float_M_orig,1.0879666483728259,2.60718812854234,1.3031940339987096,0.8348462469817469,2.0006139228112225,2.1133479678653773,1.4845343124545891,1.147117862617524,1.0395029735510386,1.071146561806266,1.6216679272086585,1.1391506358415842,0.8802356615290182,0.7976578670801895,0.8219394302470593,-2.6309656300906696,,-0.16926467205262805
